,,2月 joint 累計支出：36684,,,,,
品項,說明,金額,日期,,Source,Payer,
水餃,,225,2018-02-11,Joint,Trista_Cash,undefined,
水果,,215,2018-02-11,Joint,Trista_Cash,undefined,
肉,肉片,77,2018-02-11,Joint,Trista_Cash,undefined,
肉,肉片,87,2018-02-11,Joint,Trista_Cash,undefined,
零食,玉米脆片,49,2018-02-11,Joint,Trista_Cash,undefined,
麵筋,*2,50,2018-02-11,Joint,Trista_Cash,undefined,
咖啡,,140,2018-02-11,Joint,Trista_Cash,undefined,
氣泡水,*2,34,2018-02-11,Joint,Trista_Cash,undefined,
脆瓜,,25,2018-02-11,Joint,Trista_Cash,undefined,
玉米筍,,27,2018-02-11,Joint,Trista_Cash,undefined,
杏鮑菇,,69,2018-02-11,Joint,Trista_Cash,undefined,
娃娃菜,,55,2018-02-11,Joint,Trista_Cash,undefined,
餅乾,,69,2018-02-11,Joint,Trista_Cash,undefined,
外食,麵店,190,2018-02-13,Joint,Trista_Cash,undefined,
牛奶,,93,2018-02-13,Joint,Trista_Cash,undefined,
紅茶,*2,40,2018-02-13,Joint,Trista_Cash,undefined,
水果,,130,2018-02-13,Joint,Trista_Cash,undefined,
外食,鹽酥雞,280,2018-02-14,Joint,Trista_Cash,undefined,
蔬菜,,345,2018-02-14,Joint,Trista_Cash,undefined,
蔬菜,,270,2018-02-14,Joint,Trista_Cash,undefined,
肉,牛肉,1167,2018-02-14,Joint,Trista_Cash,undefined,
蔬菜,,100,2018-02-14,Joint,Trista_Cash,undefined,
外食,早餐店,157,2018-02-14,Joint,Trista_Cash,undefined,
游泳,,110,2018-02-14,Joint,Trista_Cash,undefined,
水果,香蕉,40,2018-02-14,Joint,Trista_Cash,undefined,
外食,牛雜湯,500,2018-02-14,Joint,Trista_Cash,undefined,
麵包,,75,2018-02-14,Joint,Trista_Cash,undefined,
漱口杯,,49,2018-02-14,Joint,Trista_Cash,undefined,
浴簾,,399,2018-02-14,Joint,Trista_Cash,undefined,
紅茶,*2,40,2018-02-16,Joint,Trista_Cash,undefined,
牛奶,,88,2018-02-16,Joint,Trista_Cash,undefined,
外食,長庚生技(with Mon n Dad),1290,2018-02-16,Joint,Trista_Cash,undefined,
外食,麥當當,373,2018-02-16,Joint,Trista_Cash,undefined,
,,373,2018-02-16,Joint,Trista_Cash,undefined,
外食,牛肉麵(with mom n dad).,1474,2018-02-17,Joint,Trista_Cash,undefined,
外食,摩斯,540,2018-02-17,Joint,Trista_Cash,undefined,
香蕉,*4,76,2018-02-17,Joint,Trista_Cash,undefined,
紅茶,*4,80,2018-02-17,Joint,Trista_Cash,undefined,
咖啡,,150,2018-02-17,Joint,Trista_Cash,undefined,
蛋餅,,55,2018-02-18,Joint,Trista_Cash,undefined,
衛生紙,,69,2018-02-18,Joint,Trista_Cash,undefined,
汽泡水,*4,68,2018-02-18,Joint,Trista_Cash,undefined,
衛生紙,,100,2018-02-18,Joint,Trista_Cash,undefined,
魔氈,,150,2018-02-18,Joint,Trista_Cash,undefined,
衛生紙,,59,2018-02-18,Joint,Trista_Cash,undefined,
啤酒,*2,116,2018-02-18,Joint,Trista_Cash,undefined,
咖啡,,169,2018-02-18,Joint,Trista_Cash,undefined,
竹筍,,33,2018-02-18,Joint,Trista_Cash,undefined,
小魚柿餅,,102,2018-02-18,Joint,Trista_Cash,undefined,
菜瓜布,,84,2018-02-18,Joint,Trista_Cash,undefined,
抹布,,109,2018-02-18,Joint,Trista_Cash,undefined,
肉絲,,65,2018-02-18,Joint,Trista_Cash,undefined,
火腿,,82,2018-02-18,Joint,Trista_Cash,undefined,
雞蛋,,70,2018-02-18,Joint,Trista_Cash,undefined,
橘子,,89,2018-02-18,Joint,Trista_Cash,undefined,
外食,摩斯,350,2018-02-19,Joint,Trista_Cash,undefined,
transfer to Trista_Cash,transfer to Trista_Cash,200,2018-02-20,Joint,Joint_Env,,transfer
transfer to Trista_Cash,transfer to Trista_Cash,3000,2018-02-20,Joint,Trista_Cathay_Bank,,transfer
牛奶,,88,2018-02-20,Joint,Trista_Cash,undefined,
香蕉 * 2,,38,2018-02-20,Joint,Trista_Cash,undefined,
紅茶 * 4,,80,2018-02-20,Joint,Trista_Cash,undefined,
吐司,,75,2018-02-20,Joint,Trista_Cash,undefined,
水果,,140,2018-02-20,Joint,Trista_Cash,undefined,
外食,西雅圖咖啡,275,2018-02-20,Joint,Trista_Cash,undefined,
外食,烤雞,485,2018-02-21,Joint,Trista_Cash,undefined,
鑄鐵鍋,,2783,2018-02-21,Joint,Trista_Cathay_Bank,undefined,
,牛肉,215,2018-02-21,Joint,Trista_Cathay_Bank,undefined,
咖啡,,195,2018-02-21,Joint,Trista_Cathay_Bank,undefined,
柚子酒,,700,2018-02-21,Joint,Trista_Cathay_Bank,undefined,
計程車費,,160,2018-02-21,Joint,Trista_Cash,undefined,
外食,麵店,225,2018-02-22,Joint,Trista_Cash,undefined,
吐司,,90,2018-02-22,Joint,Trista_Cash,undefined,
水果,,144,2018-02-22,Joint,Trista_Cash,undefined,
牛奶,,93,2018-02-22,Joint,Trista_Cash,undefined,
紅茶,*2,40,2018-02-22,Joint,Trista_Cash,undefined,
蛋,,72,2018-02-23,Joint,Trista_Cash,undefined,
